edge_left_A,edge_right_A,center_A,U_sum,U_cnt,U_sum2,L_sum,L_cnt,L_sum2
-2.0,-1.8,-1.9,14.176853526383638,31,,18.23081548511982,39,
-1.8,-1.6,-1.7000000000000002,28.570339247584347,49,,31.293997645378113,58,
-1.6,-1.4000000000000001,-1.5,24.91261995024979,46,,25.334248453378677,47,
-1.4000000000000001,-1.2000000000000002,-1.3000000000000003,37.13848626241088,70,,40.567445681896054,73,
-1.2000000000000002,-1.0000000000000002,-1.1,53.885759180411696,102,,52.371743149124086,93,
-1.0000000000000002,-0.8000000000000003,-0.9000000000000002,65.89078327268362,119,,60.864742858335376,110,
-0.8000000000000003,-0.6000000000000003,-0.7000000000000003,86.04647571779788,156,,91.87565759569407,170,
-0.6000000000000003,-0.40000000000000036,-0.5000000000000003,105.14960012957454,186,,110.69110185094178,201,
-0.40000000000000036,-0.2000000000000004,-0.3000000000000004,154.21594754466787,269,,161.27822059206665,292,
-0.2000000000000004,-4.440892098500626e-16,-0.10000000000000042,164.33158907853067,302,,187.9266096893698,340,
-4.440892098500626e-16,0.1999999999999993,0.09999999999999942,218.54827232658863,375,,224.52987313643098,391,
0.1999999999999993,0.39999999999999947,0.2999999999999994,255.6916912402958,441,,295.6833873009309,518,
0.39999999999999947,0.5999999999999996,0.49999999999999956,318.29542256332934,552,,327.38054044079036,567,
0.5999999999999996,0.7999999999999994,0.6999999999999995,346.49896063888445,593,,391.4697658121586,656,
0.7999999999999994,0.9999999999999991,0.8999999999999992,398.24416449852293,683,,399.0889642452821,680,
0.9999999999999991,1.1999999999999993,1.0999999999999992,445.833106121514,754,,481.5046694492921,831,
1.1999999999999993,1.3999999999999995,1.2999999999999994,487.8908426500857,823,,524.35288427677,876,
1.3999999999999995,1.5999999999999992,1.4999999999999993,527.2347480226308,878,,549.4010289569851,916,
1.5999999999999992,1.799999999999999,1.699999999999999,566.5386540496256,931,,567.2567072175443,957,
1.799999999999999,1.9999999999999991,1.899999999999999,605.106451945845,1004,,630.3346534017473,1050,
1.9999999999999991,2.1999999999999993,2.099999999999999,643.5084422146901,1051,,644.6846450301819,1036,
2.1999999999999993,2.3999999999999986,2.299999999999999,641.0043646022677,1028,,605.1673753354698,965,
2.3999999999999986,2.5999999999999988,2.4999999999999987,581.4679317940027,931,,587.4642545746174,951,
2.5999999999999988,2.799999999999999,2.699999999999999,588.7928260979243,945,,600.1969988693018,951,
2.799999999999999,2.999999999999999,2.899999999999999,550.849805554375,890,,635.9335103756748,1002,
2.999999999999999,3.1999999999999993,3.099999999999999,579.3258679755963,912,,593.0686624622904,938,
3.1999999999999993,3.3999999999999986,3.299999999999999,578.9591510475148,905,,564.8596057291143,882,
3.3999999999999986,3.5999999999999988,3.4999999999999987,531.2059708815068,825,,570.6262271986343,901,
3.5999999999999988,3.799999999999999,3.699999999999999,549.4867443200201,858,,570.8370786020532,908,
3.799999999999999,3.9999999999999982,3.8999999999999986,555.5020964047872,878,,526.0793623947538,841,
3.9999999999999982,4.199999999999998,4.099999999999998,570.1224642442539,898,,577.3595702070743,901,
4.199999999999998,4.399999999999999,4.299999999999999,572.1451549539343,898,,536.1820676852949,867,
4.399999999999999,4.599999999999999,4.499999999999998,588.849978806451,926,,539.8444518567994,849,
4.599999999999999,4.799999999999999,4.699999999999999,596.2997672415804,919,,550.4357526528183,879,
4.799999999999999,4.999999999999998,4.899999999999999,556.7633691425435,877,,546.6275439092424,854,
4.999999999999998,5.199999999999998,5.099999999999998,573.419044972863,898,,584.348096172791,922,
5.199999999999998,5.399999999999999,5.299999999999999,563.2766866819002,870,,584.9659196678549,924,
5.399999999999999,5.599999999999998,5.499999999999998,539.7020955041517,837,,535.9996045802254,845,
5.599999999999998,5.799999999999998,5.6999999999999975,578.0425760180224,898,,534.9780548638664,854,
5.799999999999998,5.999999999999998,5.899999999999999,539.7921928027645,870,,515.9785673303995,804,
5.999999999999998,6.1999999999999975,6.099999999999998,555.1872360920534,863,,515.3842093497515,817,
6.1999999999999975,6.399999999999999,6.299999999999998,518.6080686138012,826,,520.6987617444247,823,
6.399999999999999,6.599999999999998,6.499999999999998,585.2372327740304,908,,500.9077886631713,804,
6.599999999999998,6.799999999999997,6.6999999999999975,558.87830964569,864,,519.9176448695362,810,
6.799999999999997,6.999999999999998,6.899999999999998,551.2136159897782,861,,533.2788222772069,841,
6.999999999999998,7.1999999999999975,7.099999999999998,531.8063405386638,837,,544.5382224582136,851,
7.1999999999999975,7.399999999999999,7.299999999999998,517.8047888735309,822,,513.3593674511649,820,
7.399999999999999,7.599999999999998,7.499999999999998,525.470675506629,830,,552.2558217003243,845,
7.599999999999998,7.799999999999997,7.6999999999999975,547.4124414129183,864,,517.9704771665856,810,
7.799999999999997,7.999999999999998,7.899999999999998,502.2641051351092,800,,532.7538371619303,838,
7.999999999999998,8.199999999999998,8.099999999999998,501.8915971252136,794,,521.5445799059235,818,
8.199999999999998,8.399999999999999,8.299999999999997,544.2885814504698,860,,539.3527594096959,835,
8.399999999999999,8.599999999999998,8.499999999999998,516.9799382486381,805,,536.664824121166,833,
8.599999999999998,8.799999999999997,8.699999999999998,510.8772641196847,815,,514.2830951130018,801,
8.799999999999997,8.999999999999998,8.899999999999999,511.9288475289941,808,,494.1513536535203,775,
