edge_left_A,edge_right_A,center_A,U_sum,U_cnt,U_sum2,L_sum,L_cnt,L_sum2
-2.0,-1.8,-1.9,41.735837624408305,63,,63.147275514900684,90,
-1.8,-1.6,-1.7000000000000002,61.477581485174596,93,,72.09066910587717,110,
-1.6,-1.4000000000000001,-1.5,69.16822793101892,103,,76.7756727472879,114,
-1.4000000000000001,-1.2000000000000002,-1.3000000000000003,77.8406363115646,116,,102.06734829011839,145,
-1.2000000000000002,-1.0000000000000002,-1.1,111.0901440907619,162,,120.44639913807623,170,
-1.0000000000000002,-0.8000000000000003,-0.9000000000000002,134.3578147101216,202,,130.47353347064927,191,
-0.8000000000000003,-0.6000000000000003,-0.7000000000000003,176.54432815825567,245,,183.19177971966565,274,
-0.6000000000000003,-0.40000000000000036,-0.5000000000000003,195.34341283107642,288,,221.26592100039127,327,
-0.40000000000000036,-0.2000000000000004,-0.3000000000000004,278.7467702140566,390,,268.13458288880065,408,
-0.2000000000000004,-4.440892098500626e-16,-0.10000000000000042,290.8409158010036,430,,320.47054094763007,464,
-4.440892098500626e-16,0.1999999999999993,0.09999999999999942,334.86137163452804,492,,361.7225376962451,532,
0.1999999999999993,0.39999999999999947,0.2999999999999994,405.7295561829815,585,,440.4760642319452,645,
0.39999999999999947,0.5999999999999996,0.49999999999999956,477.3308082742151,693,,478.0180689431727,696,
0.5999999999999996,0.7999999999999994,0.6999999999999995,513.6494800061919,730,,550.6078665422101,782,
0.7999999999999994,0.9999999999999991,0.8999999999999992,565.6841890595388,822,,575.1935154919047,814,
0.9999999999999991,1.1999999999999993,1.0999999999999992,615.0760801728757,897,,655.7018588244682,964,
1.1999999999999993,1.3999999999999995,1.2999999999999994,674.4385405409848,969,,687.3745795904542,999,
1.3999999999999995,1.5999999999999992,1.4999999999999993,690.9641160336905,994,,724.7858414797811,1041,
1.5999999999999992,1.799999999999999,1.699999999999999,724.0503421013127,1037,,727.9469214462442,1070,
1.799999999999999,1.9999999999999991,1.899999999999999,739.387450792361,1086,,807.7866397989566,1169,
1.9999999999999991,2.1999999999999993,2.099999999999999,799.3192108638176,1134,,795.9761891738744,1123,
2.1999999999999993,2.3999999999999986,2.299999999999999,783.4043538096594,1111,,739.2394783867057,1048,
2.3999999999999986,2.5999999999999988,2.4999999999999987,705.9750094757183,998,,714.7564833100187,1022,
2.5999999999999988,2.799999999999999,2.699999999999999,700.9359765107802,1003,,728.6602724477998,1014,
2.799999999999999,2.999999999999999,2.899999999999999,659.3883387881797,944,,752.6908527344931,1050,
2.999999999999999,3.1999999999999993,3.099999999999999,672.6857842073077,950,,704.5866499411059,982,
3.1999999999999993,3.3999999999999986,3.299999999999999,672.4528269003495,940,,667.1624967582029,933,
3.3999999999999986,3.5999999999999988,3.4999999999999987,610.7128827392589,864,,669.8205014715204,941,
3.5999999999999988,3.799999999999999,3.699999999999999,642.2154501457117,897,,653.457543638302,934,
3.799999999999999,3.9999999999999982,3.8999999999999986,658.1663849451579,919,,620.6427533995447,882,
3.9999999999999982,4.199999999999998,4.099999999999998,650.069749194663,922,,660.1671643008594,937,
4.199999999999998,4.399999999999999,4.299999999999999,655.5235886454466,927,,642.6749391297344,904,
4.399999999999999,4.599999999999999,4.499999999999998,675.1409767265432,949,,627.8643251707545,898,
4.599999999999999,4.799999999999999,4.699999999999999,675.0087759446469,957,,637.1139632668346,916,
4.799999999999999,4.999999999999998,4.899999999999999,642.279125582194,912,,640.0984892961569,897,
4.999999999999998,5.199999999999998,5.099999999999998,661.2768004137324,933,,676.8674394770278,959,
5.199999999999998,5.399999999999999,5.299999999999999,655.3609281781246,905,,683.1447352212854,965,
5.399999999999999,5.599999999999998,5.499999999999998,624.1325037817005,879,,623.3898143366096,889,
5.599999999999998,5.799999999999998,5.6999999999999975,665.7265360377496,934,,631.8631553836458,895,
5.799999999999998,5.999999999999998,5.899999999999999,633.5269351003226,907,,582.6744658143725,839,
5.999999999999998,6.1999999999999975,6.099999999999998,622.1691264878027,881,,607.0005380182411,855,
6.1999999999999975,6.399999999999999,6.299999999999998,604.1519248108962,864,,607.7827452444471,856,
6.399999999999999,6.599999999999998,6.499999999999998,664.4314277205267,933,,596.436808698927,844,
6.599999999999998,6.799999999999997,6.6999999999999975,634.2917643648689,890,,604.2433447440126,849,
6.799999999999997,6.999999999999998,6.899999999999998,633.5607613426109,897,,619.5456274900498,870,
6.999999999999998,7.1999999999999975,7.099999999999998,619.9252210473351,868,,634.7464810813544,893,
7.1999999999999975,7.399999999999999,7.299999999999998,618.8046126346599,859,,606.1355710620992,857,
7.399999999999999,7.599999999999998,7.499999999999998,613.6063514706912,869,,631.372621810413,876,
7.599999999999998,7.799999999999997,7.6999999999999975,641.5284342895029,904,,607.44919367088,843,
7.799999999999997,7.999999999999998,7.899999999999998,581.2877088548848,831,,606.9040096134413,861,
7.999999999999998,8.199999999999998,8.099999999999998,582.2851756239543,824,,601.7872945552226,847,
8.199999999999998,8.399999999999999,8.299999999999997,634.8496210339363,887,,626.1524071440799,872,
8.399999999999999,8.599999999999998,8.499999999999998,602.5631232173182,841,,609.2647991264821,856,
8.599999999999998,8.799999999999997,8.699999999999998,593.5705091137206,855,,594.8386474488361,829,
8.799999999999997,8.999999999999998,8.899999999999999,599.29702458682,844,,553.6120849464787,799,
8.999999999999998,9.199999999999998,9.099999999999998,640.3636942929588,902,,598.0227823734749,851,
9.199999999999998,9.399999999999997,9.299999999999997,579.5716738654883,827,,571.873350716196,814,
9.399999999999997,9.599999999999998,9.499999999999996,609.5632601170801,876,,603.5009608029504,843,
9.599999999999998,9.799999999999997,9.699999999999998,591.4485970165115,837,,575.7800528367516,800,
9.799999999999997,9.999999999999996,9.899999999999997,628.7525573377497,875,,598.5336754097953,841,
